Entity ID,Annual Clients,Infraction Type,Infraction Timeline,Public Complaints,Sentiment Analysis,Inspection Results,Total Risk Score,Risk Category,Predicted Risk Category,Phone Number,Address
E0029,65,None,None,None,None,Pass,6,Low,Low,001-483-271-1156x8654,"36970 Eaton Crossing Apt. 518
Torresmouth, YT J9M6A9"
E0030,131,None,None,None,None,Pass,6,Low,Low,5236387923,"52005 Morris Neck Suite 626
Walkerside, PE B5M9H9"
E0031,176,None,None,Minor,Flagged,Pass,8,Moderate,Moderate,001-605-694-5176x262,"48570 Pamela Isle
New Mary, SK H3G 2T4"
E0032,45,None,None,None,None,Pass,6,Low,Low,(517)517-9690,"3157 Susan Overpass Apt. 340
Amyfurt, ON T9G9V2"
E0033,91,None,None,None,None,Pass,6,Low,Low,627-640-8351x126,"8234 Green Mall
Hansenfurt, YT J5K 6C5"
E0034,41,None,None,None,Flagged,None,9,Moderate,Moderate,(468)623-2761x97931,"39288 Stefanie Way
East Olivia, MB S6T8P5"
E0035,119,None,None,None,None,None,8,Moderate,Low,(391)351-6466x11004,"583 Miller Drives Apt. 599
Port Darrell, ON L7S 3K3"
E0036,66,None,None,None,None,Pass,6,Low,Low,(784)621-2453x45698,"7880 Thomas Passage
Jonesville, NB P8J5M7"
E0037,87,None,None,None,None,Pass,6,Low,Low,944.248.1052,"1314 Luis Pines Suite 197
North Fredericktown, NL J7P 8E9"
E0038,126,None,None,None,None,Pass,6,Low,Low,7919303840,"115 Acosta Pass Apt. 078
South Sarah, BC Y1B3R9"
E0039,53,None,None,None,None,Pass,6,Low,Low,448-651-8895x334,"76274 Michelle Key
West Robertton, QC C6H 4X5"
E0040,40,None,None,None,None,Pass,6,Low,Low,(362)463-5192x23271,"900 Macdonald Squares
Blankenshipfort, ON R5S 6G7"
E0041,109,None,None,None,None,Pass,6,Low,Low,+1-679-851-9864x2454,"05765 Peterson Run
North Kimberlychester, PE A8X5X2"
E0042,56,None,None,None,None,Pass,6,Low,Low,+1-834-862-4915x115,"81770 Nancy Cliffs
South Heatherfort, ON X7V1X8"
E0043,33,Minor,None,None,None,Pass,7,Moderate,Moderate,001-333-747-4114x8571,"1676 Eric Valley
South Darrellton, BC A7L8C7"
E0044,38,Minor,None,Minor,None,Fail,9,Moderate,Moderate,409-721-8507x2423,"4199 Webb Brook Suite 266
East Bryce, ON X9R 8R6"
E0045,166,Major,Within past year,None,None,Pass,10,Moderate,Moderate,242.546.7825x061,"110 James Lights
Port Donaldtown, AB P5C 3P7"
E0046,38,None,None,None,None,Pass,6,Low,Low,+1-745-788-7362x54257,"36131 Julie Brooks Suite 401
South Ashley, NL G8L 2K3"
E0047,26,None,None,None,None,Pass,6,Low,Low,492.885.0600x436,"4353 Melton Forest Apt. 700
Angelaborough, ON M1S 5E4"
E0048,46,None,None,None,None,Pass,6,Low,Low,+1-745-918-0180x15309,"54532 Anderson Drives Suite 059
Leefurt, NB H3G9R1"
E0049,156,None,None,Minor,None,Pass,7,Moderate,Moderate,380.781.8815x25706,"96427 Desiree Points
South Michael, NS A9G4X6"
E0050,40,None,None,None,None,Pass,6,Low,Low,+1-813-670-9730x13141,"23934 Griffin Trafficway Suite 161
North Lorifort, NT A8X 2G2"
E0051,63,None,None,None,None,Pass,6,Low,Low,805.216.6551x11207,"16545 John Prairie
Kevinburgh, MB L1Y 4M5"
E0052,66,None,None,None,None,Fail,7,Moderate,Moderate,259-681-3259x7549,"6927 Joshua Mountains
Lake Jasmin, SK C3K 7A6"
E0053,121,None,None,Minor,None,Pass,7,Moderate,Moderate,(565)579-2481x4224,"584 Arthur Grove Apt. 684
Catherinetown, NU T4T6N9"
E0054,185,None,None,None,Flagged,Pass,7,Moderate,Moderate,(688)690-5545,"794 James Village Suite 606
South Jeremy, SK B5V 3K3"
E0055,157,None,None,Major,Flagged,Pass,9,Moderate,Moderate,(838)543-0087x63847,"7336 Timothy Locks Suite 740
Williamberg, NB B4N 7R4"
E0056,137,None,None,Minor,None,Fail,8,Moderate,Moderate,619.663.5200,"454 Andrew Centers Apt. 993
Brownburgh, AB R7V5J4"
E0057,31,None,None,None,None,Pass,6,Low,Low,952-821-0880,"7729 Robert Lane
Christinamouth, NS K6J 6A9"
E0058,30,None,None,None,None,Pass,6,Low,Low,001-946-927-9216x223,"86559 Bender Village
Lake Dennis, SK M3J 1Y6"
E0059,111,None,None,None,None,Pass,6,Low,Low,666.384.6702x1533,"07549 Sabrina Mews Suite 629
Paulmouth, QC T9B 9T5"
E0060,24,None,None,None,None,Pass,6,Low,Low,9882040604,"92383 Dana Squares Suite 016
Jimmystad, ON M8P 1E1"
E0061,81,None,None,None,None,Pass,6,Low,Low,4093829459,"06435 Laura Centers
East Wendy, SK Y2N1K8"
E0062,124,None,None,None,Flagged,Pass,7,Moderate,Moderate,+1-654-549-1092x2185,"273 Molly Branch Suite 028
North Shannon, PE Y7T7N5"
E0063,83,Minor,None,None,None,Pass,7,Moderate,Moderate,629-374-7176,"55527 Lozano Bridge Suite 865
New Cathybury, NU E5T1N5"
E0064,115,None,None,None,None,Pass,6,Low,Low,467-393-3815x95812,"634 Tony Skyway Suite 081
Port Cynthia, AB J1T8R3"
E0065,81,None,None,None,Flagged,Fail,8,Moderate,Moderate,+1-690-658-5378,"2709 Chris Burgs
Lake Lauriestad, NT L2X 9Y4"
E0066,15,None,None,None,None,Pass,6,Low,Low,(905)366-2048x61497,"8606 Michael Loaf Suite 438
New Raymond, QC S1Y 8Y9"
E0067,192,Major,None,None,None,Pass,8,Moderate,Moderate,+1-206-287-6356x2156,"020 Perez Walks Suite 717
Hannahchester, MB J8R 1C4"
E0068,47,None,None,None,None,Pass,6,Low,Low,001-879-929-2100x052,"141 Judy Passage Apt. 986
Veronicaville, NB V5M 7Y7"
E0069,166,None,Within past 1-3 years,None,None,Pass,7,Moderate,Moderate,001-653-724-6751x3429,"852 Hawkins Rapid Suite 698
North Ericbury, NS L4B4M6"
E0070,184,None,None,None,None,Pass,6,Low,Low,(273)735-8782x208,"709 Diamond Estate Suite 529
Lake Benjamin, NB Y3C 6K4"
E0071,170,None,None,None,None,Pass,6,Low,Low,626.923.1411x9555,"241 Rush Park Apt. 344
East Jamesmouth, MB K5S 2J5"
E0072,161,None,None,Minor,None,Fail,8,Moderate,Moderate,+1-264-770-9339x904,"72948 Bullock Extensions
Whiteton, AB E4Y8A8"
E0073,146,None,None,None,Flagged,Pass,7,Moderate,Moderate,+1-801-484-6073x128,"46313 Cooper Green Suite 296
South Jillville, NT G4B2M6"
E0074,41,None,None,None,Flagged,Pass,7,Moderate,Moderate,718-393-0422x205,"0586 Williams Hollow Suite 471
Fowlerland, NU K9V 7Y4"
E0075,180,None,None,None,None,Pass,6,Low,Low,(272)762-2958x273,"7013 Booker Hill
Staceyshire, NS K4N3L7"
E0076,60,Major,None,None,None,Pass,8,Moderate,Moderate,709-934-7323x919,"8461 Angela View
North Ericmouth, BC V7J 6A5"
E0077,120,None,None,None,Flagged,Pass,7,Moderate,Moderate,(684)300-2473x456,"0394 Maria Junctions Apt. 811
Stevensonport, NL R8N 6S3"
E0078,181,Minor,None,None,None,Pass,7,Moderate,Moderate,+1-893-396-0987x83863,"6556 Jasmine Corners Apt. 305
East Michaelside, NU N2J3K7"
E0079,168,None,None,None,None,Pass,6,Low,Low,832-934-9874x07005,"29636 Noble Circle
Carsontown, BC K7H 6K6"
E0080,188,Major,None,None,None,Pass,8,Moderate,Moderate,(959)601-6951x72189,"151 Pamela Trace
Johnsonton, BC A9M 2G6"
E0081,48,None,None,None,None,Pass,6,Low,Low,996-330-0345,"3602 Brown Drive
East Victoriamouth, NT G6T 8V5"
E0082,194,None,None,None,None,Pass,6,Low,Low,282-850-6554,"63180 Michelle Plaza Suite 175
Jenniferborough, SK L6H 9N2"
E0083,57,None,None,None,None,Pass,6,Low,Low,001-789-301-6946x980,"69530 Higgins Square
Paynehaven, MB X1M 4M8"
E0084,196,None,None,None,None,Fail,7,Moderate,Moderate,429.804.4784x1520,"5557 Gloria Glens Suite 596
Maryton, NB N4L 2E7"
E0085,17,Minor,None,None,None,Pass,7,Moderate,Moderate,(675)729-0103x06279,"7956 Parker Curve Suite 373
Sextonchester, AB P7M7Y9"
E0086,98,None,None,None,None,Pass,6,Low,Low,(417)785-1206x2904,"6760 Mcdonald Avenue Apt. 753
Johnshire, PE J7T 9G6"
E0087,48,None,None,None,None,Pass,6,Low,Low,+1-292-708-3141,"90082 Kyle Light Apt. 837
Philipchester, NT A2T 8K1"
E0088,178,None,None,None,None,None,8,Moderate,Low,710.715.6953x2987,"5839 Beard Summit
Hendersonstad, SK Y5P 3S1"
E0089,175,None,None,None,None,Pass,6,Low,Low,922-937-5334x95209,"61058 Romero Rue
South Zacharyberg, MB C4H9A4"
E0090,151,None,None,None,None,Pass,6,Low,Low,859-331-1645,"59865 John Loop
Chaveztown, YT B7G8G2"
E0091,32,None,None,None,None,Pass,6,Low,Low,001-737-302-6353x06828,"833 Paul Valley Apt. 271
New Thomas, MB J1G 4Y6"
E0092,18,None,None,None,None,Pass,6,Low,Low,001-544-452-2291x7404,"2310 John Forks
Thomashaven, SK M8X 6N1"
E0093,123,None,None,None,None,Pass,6,Low,Low,001-786-438-5174x76278,"99810 Phelps Wall
New Emily, NL K9R7P7"
E0094,166,None,None,None,None,Pass,6,Low,Low,+1-850-821-3245x5954,"7319 Martinez Pines Suite 739
North Steven, QC K5T 3H3"
E0095,71,None,None,None,None,Pass,6,Low,Low,312-295-1916,"657 Williams Parks
Robertsland, SK H9C 5M7"
E0096,74,None,None,None,None,Pass,6,Low,Low,+1-288-633-9820,"892 Krista Oval
Johnstontown, NL X6C 5E3"
E0097,67,None,None,None,None,Pass,6,Low,Low,001-699-369-4392x7713,"3763 Charles Highway Suite 830
Brittanyborough, NU C1P9P3"
E0098,197,None,Within past 1-3 years,Major,None,Pass,9,Moderate,Moderate,+1-826-277-5943x6946,"2643 Young Isle Apt. 622
Hectortown, NT K4K 4A5"
E0099,13,None,None,None,Flagged,Pass,7,Moderate,Moderate,7544365877,"75103 Denise Extensions Suite 882
North James, YT R7J 7S3"
E0100,107,None,None,None,None,Pass,6,Low,Low,(965)509-5503,"1673 Mark Meadow
East Dianaberg, NS Y8Y 7Y6"
E0101,117,None,None,None,None,Pass,6,Low,Low,657.468.6690x8160,"18515 Compton Plain
Edwardschester, MB T4Y 2J8"
E0102,128,None,None,Major,None,Pass,8,Moderate,Moderate,909.215.3562x9134,"14293 Morgan Meadow
New Candicestad, NS N4H 9V4"
E0103,131,None,Within past 1-3 years,Minor,None,Pass,8,Moderate,Moderate,231.773.7535x958,"2873 Cordova Stravenue
Christopherville, YT M3C 7P6"
E0104,133,None,None,None,None,Pass,6,Low,Low,935-362-7915x5972,"5541 Michael Walks Apt. 434
South John, BC E4J 1Y4"
E0105,43,None,None,None,None,Pass,6,Low,Low,8478051610,"46929 Julie Meadow Suite 005
Vincenthaven, MB L6T 6H7"
E0106,46,None,None,None,None,Pass,6,Low,Low,222.569.8524,"82899 Steven Flat
South James, NL E4N 1Y3"
E0107,185,None,None,None,None,Pass,6,Low,Low,(738)307-2642x4188,"3569 Reed Route
West Kristopherstad, AB S4R 7M9"
E0108,30,None,None,None,Flagged,Pass,7,Moderate,Moderate,2454926244,"3486 Jackson Island Suite 507
Lake David, NT Y8P1X3"
E0109,117,Major,None,None,None,Pass,8,Moderate,Moderate,3388733397,"196 Wright Green
East Michaelburgh, AB H4V 1S9"
E0110,173,None,None,None,None,Pass,6,Low,Low,736.998.9645,"74148 Kayla Mews
Lake Theresa, PE L8L5H3"
E0111,70,None,None,None,None,Pass,6,Low,Low,001-350-478-1269x43776,"704 Michelle Brooks
Lake Sherryshire, MB A2A 6R2"
E0112,59,None,None,None,Flagged,Pass,7,Moderate,Moderate,5065977173,"586 Houston Road
West Jessica, YT A4X 3V6"
E0113,162,None,None,None,Flagged,Fail,8,Moderate,Moderate,(921)962-0650x65085,"224 Judith Dam Apt. 483
Brandontown, YT S2P 8P9"
E0114,175,None,None,None,None,Pass,6,Low,Low,(268)912-4528,"571 Stevens Points Suite 514
New Walterville, BC C1H 1L6"
E0115,20,None,None,None,None,Pass,6,Low,Low,+1-675-494-0788x1376,"0410 Crane Extensions
Kristamouth, NT P7Y 9T1"
E0116,161,None,None,None,None,Pass,6,Low,Low,+1-391-974-4428x32197,"5794 Jessica Port
Bellton, MB M7L 4X5"
E0117,195,None,None,None,None,Pass,6,Low,Low,240-873-9664,"2739 Bernard Ranch Apt. 772
Robertsmouth, NS K9A9X3"
E0118,154,None,Within past year,None,None,Pass,8,Moderate,Moderate,001-550-782-5450x6082,"9041 Wright Gardens Apt. 436
West Angela, NS E8M 5J4"
E0119,21,None,None,None,None,Pass,6,Low,Low,001-627-539-7252x80445,"49882 Butler Curve Suite 003
Lake Gabrielville, PE P2J 3N1"
E0120,180,None,None,None,None,Pass,6,Low,Low,001-498-662-5880x22822,"396 Eric Ville Suite 300
Millerville, NT G2A1X7"
E0121,168,None,None,None,Flagged,Fail,8,Moderate,Moderate,(378)295-4740,"632 Justin Mountains
Lake Kathleenfort, NB G6L2G3"
E0122,192,None,Within past year,None,None,Pass,8,Moderate,Moderate,+1-288-479-8075x300,"7122 Mclaughlin View Suite 322
New Stephen, YT R8G 8Y2"
E0123,23,None,None,None,Flagged,Pass,7,Moderate,Moderate,+1-616-868-7521x66279,"0444 John Mews Apt. 355
Brittanyfurt, NT M6N 5G4"
E0124,113,None,Within past 1-3 years,None,None,Pass,7,Moderate,Moderate,8776401800,"822 Rivers View Apt. 869
Lake Tracyfort, SK S8A 8J5"
E0125,140,None,None,Minor,Flagged,Pass,8,Moderate,Moderate,+1-284-945-8102x421,"0777 Andrew Green
Port Samuel, NB J2X 9E4"
E0126,28,None,None,None,None,Pass,6,Low,Low,+1-443-655-0547,"43874 Atkins Greens
Anthonybury, MB X9H2V9"
E0127,99,None,None,None,Flagged,Pass,7,Moderate,Moderate,001-891-488-1536x27073,"568 Kaiser River Apt. 484
Lake Tanner, NS J4C 6L8"
E0128,191,None,None,None,Flagged,Pass,7,Moderate,Moderate,001-298-953-8451x000,"2165 Davis Track
Nicholasport, NB H5C 1X9"
E0129,153,Minor,None,None,None,Pass,7,Moderate,Moderate,001-451-946-8016x53747,"82178 Barbara Stravenue
Lake Lindseyport, NB R5T 6R4"
E0130,180,None,None,None,None,Pass,6,Low,Low,(690)859-0330x1088,"8417 Jay Mountain Apt. 765
Cochranshire, NB V9J 8E1"
E0131,166,None,None,None,None,Pass,6,Low,Low,351-961-7496x480,"511 William Keys
Baileybury, NB L1K3L6"
E0132,133,None,None,None,Flagged,Pass,7,Moderate,Moderate,(716)546-3126x124,"636 Maria Plaza Apt. 963
Kellyland, SK X8H1L3"
E0133,32,None,None,None,None,Pass,6,Low,Low,651.824.0838x16835,"4928 Thornton Ports Suite 623
Ryanmouth, YT T5J6C1"
E0134,20,None,None,None,Flagged,Pass,7,Moderate,Moderate,416.658.3439x0103,"64474 Linda Mountains Suite 626
South Teresa, MB A7E 4B5"
E0135,14,Major,None,None,None,Pass,8,Moderate,Moderate,001-250-755-4453x321,"292 Jones Shoal Apt. 170
Lake Collin, PE H4N 1E4"
E0136,119,None,None,None,None,Pass,6,Low,Low,774.326.0101,"53537 Lindsay Inlet Apt. 724
Smithview, QC N9H 1J8"
E0137,37,None,None,None,None,Pass,6,Low,Low,+1-479-483-6858x51053,"4182 Gordon Squares
Lake Michael, ON Y7G 6G7"
E0138,43,None,None,None,Flagged,Pass,7,Moderate,Moderate,+1-952-463-5905x675,"57469 Morgan Walk Suite 533
Martinmouth, NB T8M1X3"
E0139,78,None,None,None,Flagged,Fail,8,Moderate,Moderate,(561)590-5936x942,"770 Isaac Street
Keithview, NL P6X6M4"
E0140,29,None,None,None,None,Pass,6,Low,Low,751.651.0992x4409,"8337 Benjamin Islands
Heathermouth, NU J7C 3T2"
E0141,16,Minor,None,None,None,Pass,7,Moderate,Moderate,433.368.4488,"033 Briana Haven
South Paulborough, NT J4K1Y7"
E0142,146,None,None,Minor,Flagged,Fail,9,Moderate,Moderate,368.210.6911x66352,"4473 Ritter Rest
New Taylorfort, PE T3L 8R5"
E0143,69,None,None,None,None,Fail,7,Moderate,Moderate,459.878.1191x1880,"225 Debra Vista
West Sarahbury, ON R4K 3R8"
E0144,20,None,None,None,None,Pass,6,Low,Low,7816405939,"900 Kristie Summit
Michaelmouth, SK M9E4V4"
E0145,173,Major,None,None,None,Pass,8,Moderate,Moderate,001-225-880-7306x409,"1513 King Junctions
Amandahaven, QC X1A 9V2"
E0146,196,None,Within past year,None,None,Pass,8,Moderate,Moderate,001-291-485-2185,"0837 William Springs
Castilloland, ON M5M 7A3"
E0147,74,None,None,None,None,Pass,6,Low,Low,383.978.4247x420,"9571 Vincent Islands Apt. 225
Erinmouth, BC S1R7B6"
E0148,42,Minor,None,None,None,Pass,7,Moderate,Moderate,001-757-213-0396x21784,"0982 Clark Dale Apt. 529
Austinburgh, QC R7Y1H3"
E0149,76,None,Within past 1-3 years,None,Flagged,Pass,8,Moderate,Moderate,711.570.4496x6906,"8442 Gonzalez Mountain Apt. 682
Fisherburgh, MB R4H 5R1"
E0150,37,None,None,None,Flagged,Pass,7,Moderate,Moderate,525.466.7743x3553,"6136 Brittney Spurs
Mooreton, PE J3Y 5J4"
E0151,142,None,None,None,None,Pass,6,Low,Low,342.287.4852x88574,"69750 Janet Ranch
West Kennethland, AB M5B 1H5"
E0152,36,None,None,None,None,Pass,6,Low,Low,766-441-0083x8713,"547 Jason Club
North Crystalport, NU H5K 5E1"
E0153,175,None,None,None,None,Pass,6,Low,Low,+1-944-550-7082x71613,"2991 Amy Manors
Cardenasport, AB L6C3E8"
E0154,60,None,None,None,None,Pass,6,Low,Low,273-201-9448,"33627 Molly Ville Apt. 330
Deniseside, BC E2K 2Y4"
E0155,31,None,None,None,None,Pass,6,Low,Low,598.674.5094,"173 Thomas Shore Suite 404
Port Danielhaven, NS K2E4P3"
E0156,167,None,None,None,None,Pass,6,Low,Low,+1-491-991-7292x3125,"6370 Robert Lock Suite 869
East Christinashire, BC H1N2T2"
E0157,110,None,None,Minor,None,Pass,7,Moderate,Moderate,9186019191,"66287 Chan Glens Apt. 334
Josehaven, PE K4A3K5"
E0158,188,Minor,None,None,None,None,9,Moderate,Moderate,8908489678,"784 Wilson Vista Apt. 269
Meganburgh, NS S2T 2E5"
E0159,112,None,Within past year,None,None,Pass,8,Moderate,Moderate,001-409-222-7514x03919,"29246 Love Views
Danielberg, MB B3Y7S7"
E0160,105,None,None,None,Flagged,Pass,7,Moderate,Moderate,001-316-417-9268x9944,"215 Jimmy Square Apt. 947
Derekbury, SK P5L6N8"
E0161,86,None,None,Major,None,Pass,8,Moderate,Moderate,+1-589-864-2495,"8658 Mitchell Garden
Michaelmouth, NL M2X5V6"
E0162,166,None,None,None,None,Pass,6,Low,Low,7906213172,"9353 Donald Loop
Brookschester, SK K3T5A8"
E0163,48,Minor,None,None,None,Pass,7,Moderate,Moderate,001-580-707-5513x18245,"54242 John Terrace
Bishopshire, AB P2H 5J9"
E0164,168,None,None,Major,None,Pass,8,Moderate,Moderate,795.751.3051x09783,"73435 Ferguson Valleys
Johnsonburgh, BC S2R1E3"
E0165,140,None,None,None,None,Pass,6,Low,Low,+1-789-376-8889x248,"97754 Monica Forges Apt. 138
North Tracy, NU V7J 5T3"
E0166,181,None,Within past year,None,None,Pass,8,Moderate,Moderate,473-416-9904x8583,"38725 Melinda Mountains
Sabrinaton, BC T9K 4T1"
E0167,181,None,None,None,None,None,8,Moderate,Low,(593)289-9647x130,"06166 David Springs Apt. 622
Lake Colin, AB N7T4T4"
E0168,78,Major,Within past year,None,None,Pass,10,Moderate,Moderate,991.409.8651x5668,"4273 David Valley
Danielhaven, YT G4G 2T8"
E0169,125,None,None,None,Flagged,Pass,7,Moderate,Moderate,383-405-1986,"039 Amanda Harbors Suite 245
Lisatown, NB X8C 2M9"
E0170,139,None,None,None,None,Pass,6,Low,Low,840.607.3704,"18413 Williams Locks Apt. 265
East Katrinatown, BC A8S 6T2"
E0171,106,None,None,None,Flagged,Pass,7,Moderate,Moderate,202.957.1420x89499,"1994 Kayla Port Apt. 150
North Joshua, ON S2A 5C3"
E0172,175,None,Within past year,None,Flagged,Pass,9,Moderate,Moderate,(255)944-3041x219,"6587 Darius Flats Apt. 392
Robertshire, NL X2J 5E9"
E0173,194,None,None,None,Flagged,Pass,7,Moderate,Moderate,923.619.9339,"108 Shaw Mill Apt. 791
New Anthony, QC R9H 9K8"
E0174,180,None,None,None,None,Pass,6,Low,Low,+1-272-393-3686,"807 Michael Gardens Apt. 918
West Jennifer, AB P3Y 6A2"
E0175,187,None,None,None,None,Pass,6,Low,Low,447-814-7723x555,"05490 Church Garden
Kimfurt, NS B2Y 4R7"
E0176,176,None,None,None,None,Pass,6,Low,Low,619-342-7167x2777,"38780 Destiny Creek Suite 134
Stoneborough, NL M7B6X2"
E0177,72,None,Within past year,None,None,Pass,8,Moderate,Moderate,637.368.2157x99029,"821 Peck Plains Suite 543
Johnsonmouth, BC X1B 8Y8"
E0178,90,None,None,None,None,Pass,6,Low,Low,(811)856-3600,"1290 Kelly Court Apt. 824
West Angela, SK P2X8J2"
E0179,148,None,None,None,None,Pass,6,Low,Low,+1-680-650-3029,"2057 Reid Roads
Port Edwardland, ON L3G 5K5"
E0180,31,None,None,None,None,Pass,6,Low,Low,891-462-7906x273,"1097 Salazar Lane
Sanchezfort, BC H9A 7R7"
E0181,148,None,None,None,None,Pass,6,Low,Low,400-944-6592x75654,"1694 Shannon Green Apt. 435
Davidstad, NB E9E 9E5"
E0182,128,None,Within past year,None,None,Pass,8,Moderate,Moderate,765.947.2303x149,"4928 Fischer Park
North Cassandra, NB Y8G 2X2"
E0183,199,None,None,None,None,Pass,6,Low,Low,(219)565-2872,"948 Jason Throughway Apt. 888
Alexisfort, NL K2A 2A9"
E0184,121,None,None,None,None,Pass,6,Low,Low,+1-572-596-6737x2712,"922 Spencer Groves
Dianefort, NS N8S5H1"
E0185,163,None,None,None,None,Pass,6,Low,Low,001-268-836-4085,"4027 Joshua Forge Suite 096
Zacharyton, MB L7P8R6"
E0186,120,None,None,None,None,Pass,6,Low,Low,(983)973-0923x6966,"95282 Jose Path
South Barbara, BC T2Y7A9"
E0187,144,None,None,None,None,Pass,6,Low,Low,(596)422-0613,"03678 Julie Mount Suite 649
North Richardview, PE K4Y 7T4"
E0188,74,None,None,None,None,Pass,6,Low,Low,897.815.5068,"52569 Daniel Pines Suite 882
Jenniferview, NU K8S 2L6"
E0189,39,None,None,None,None,Pass,6,Low,Low,+1-355-775-5799,"841 Isaiah Vista
Stephanieburgh, MB A3T 4S3"
E0190,37,Minor,None,None,None,Pass,7,Moderate,Moderate,(521)502-0628x599,"655 Santos Plaza
West Perry, MB J9K 3T3"
E0191,126,None,None,None,None,Pass,6,Low,Low,548-651-0538,"2105 Maurice Road Suite 762
Isaiahton, MB H5X 1N5"
E0192,122,None,None,None,None,Pass,6,Low,Low,775.836.7040,"9361 Jacqueline Stravenue
Jenkinsport, NB C1P6N6"
E0193,35,None,None,None,Flagged,Pass,7,Moderate,Moderate,341.867.7749x96058,"366 Lewis Crossroad
Port Yvonne, QC X8S 2Y5"
E0194,126,None,None,None,None,Pass,6,Low,Low,001-529-222-0859,"23141 Christine Crescent
Jamesmouth, NT R1C9Y1"
