Entity ID,Annual Clients,Infraction Type,Infraction Timeline,Public Complaints,Sentiment Analysis,Inspection Results,Total Risk Score,Risk Category
E0077,117,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0078,81,None,None,Minor,None,Pass,7,Moderate
E0079,46,None,None,None,None,Pass,6,Low
E0080,22,Minor,Within past 1-3 years,None,None,Pass,8,Moderate
E0081,22,None,None,None,None,Pass,6,Low
E0082,122,None,None,None,None,Pass,6,Low
E0083,32,None,None,None,None,Pass,6,Low
E0084,40,Minor,None,Minor,None,Pass,8,Moderate
E0085,145,None,Within past 1-3 years,None,Flagged,Pass,8,Moderate
E0086,95,None,None,None,None,Pass,6,Low
E0087,121,None,None,None,None,Pass,6,Low
E0088,196,None,Within past year,None,None,Pass,8,Moderate
E0089,47,None,None,Minor,Flagged,Pass,8,Moderate
E0090,45,None,None,None,Flagged,Pass,7,Moderate
E0091,81,None,None,None,None,Pass,6,Low
E0092,14,None,None,None,None,Pass,6,Low
E0093,60,None,None,None,None,Pass,6,Low
E0094,129,None,None,None,None,Pass,6,Low
E0095,144,Minor,None,None,None,Pass,7,Moderate
E0096,160,Minor,None,None,None,Pass,7,Moderate
E0097,117,None,None,None,None,Pass,6,Low
E0098,50,None,None,None,None,Fail,7,Moderate
E0099,110,None,None,None,None,Fail,7,Moderate
E0100,139,None,None,None,None,Pass,6,Low
E0101,182,None,None,None,Flagged,Pass,7,Moderate
E0102,185,Minor,None,None,None,Pass,7,Moderate
E0103,114,None,None,None,Flagged,Pass,7,Moderate
E0104,155,None,None,None,None,Pass,6,Low
E0105,161,None,None,None,None,Pass,6,Low
E0106,160,None,None,None,None,Pass,6,Low
E0107,129,None,None,None,None,Pass,6,Low
E0108,139,None,None,None,None,Pass,6,Low
E0109,62,None,None,Minor,Flagged,Pass,8,Moderate
E0110,190,None,None,None,None,Pass,6,Low
E0111,83,None,None,None,None,Pass,6,Low
E0112,133,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0113,127,None,None,None,None,Fail,7,Moderate
E0114,89,None,None,None,None,Pass,6,Low
E0115,87,None,None,None,None,Pass,6,Low
E0116,128,None,None,None,None,Fail,7,Moderate
E0117,196,Minor,None,None,None,Pass,7,Moderate
E0118,183,None,None,None,Flagged,Pass,7,Moderate
E0119,139,None,None,None,None,Pass,6,Low
E0120,72,Minor,None,None,None,Pass,7,Moderate
E0121,17,None,None,None,None,Pass,6,Low
E0122,81,None,None,None,None,Pass,6,Low
E0123,27,Minor,None,None,None,Pass,7,Moderate
E0124,135,None,None,Minor,None,Pass,7,Moderate
E0125,187,None,None,None,None,Pass,6,Low
E0126,156,Major,None,Minor,Flagged,Pass,10,Moderate
E0127,35,None,Within past year,Minor,Flagged,Pass,10,Moderate
E0128,112,Major,None,None,None,Pass,8,Moderate
E0129,12,None,None,None,None,Pass,6,Low
E0130,71,None,Within past year,None,None,Pass,8,Moderate
E0131,131,Minor,Within past year,None,None,Pass,9,Moderate
E0132,104,None,None,None,None,Pass,6,Low
E0133,140,None,None,None,None,Fail,7,Moderate
E0134,33,Minor,None,None,None,Pass,7,Moderate
E0135,122,Minor,Within past 1-3 years,None,None,Pass,8,Moderate
E0136,127,None,None,None,None,Pass,6,Low
E0137,159,None,None,None,None,Pass,6,Low
E0138,151,None,None,Major,Flagged,Pass,9,Moderate
E0139,79,Minor,None,None,Flagged,Pass,8,Moderate
E0140,192,None,None,None,None,Pass,6,Low
E0141,91,None,None,None,None,Pass,6,Low
E0142,185,None,None,None,None,Pass,6,Low
E0143,168,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0144,118,None,None,None,None,Pass,6,Low
E0145,182,None,None,None,None,Fail,7,Moderate
E0146,23,None,None,None,Flagged,Pass,7,Moderate
E0147,127,None,None,None,None,Pass,6,Low
E0148,120,None,None,Minor,None,None,9,Moderate
E0149,140,None,Within past year,None,None,Pass,8,Moderate
E0150,75,None,None,None,None,Pass,6,Low
E0151,162,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0152,112,None,None,None,Flagged,Pass,7,Moderate
E0153,193,None,None,None,None,Pass,6,Low
E0154,62,None,None,Major,None,Fail,9,Moderate
E0155,109,None,None,None,None,Pass,6,Low
E0156,190,None,None,None,None,Pass,6,Low
E0157,12,None,None,None,Flagged,Pass,7,Moderate
E0158,195,None,Within past year,None,None,Pass,8,Moderate
E0159,66,None,None,None,None,Fail,7,Moderate
E0160,25,None,None,None,None,Pass,6,Low
E0161,181,None,None,None,None,Pass,6,Low
E0162,171,None,None,None,None,Pass,6,Low
E0163,140,None,None,None,None,Pass,6,Low
E0164,71,Minor,None,None,None,Pass,7,Moderate
E0165,198,None,None,None,None,Pass,6,Low
E0166,30,None,None,None,None,Pass,6,Low
E0167,45,None,Within past 1-3 years,Minor,None,Pass,8,Moderate
E0168,85,None,None,None,None,Pass,6,Low
E0169,177,None,None,None,None,Pass,6,Low
E0170,185,None,None,None,Flagged,Pass,7,Moderate
E0171,32,Major,None,None,None,Pass,8,Moderate
E0172,65,None,None,None,None,Pass,6,Low
E0173,165,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0174,150,None,None,None,Flagged,Fail,8,Moderate
E0175,197,None,None,None,None,Pass,6,Low
E0176,81,None,None,None,None,Pass,6,Low
E0177,100,None,None,None,None,Fail,7,Moderate
E0178,75,None,None,None,None,Pass,6,Low
E0179,62,None,None,None,None,Pass,6,Low
E0180,157,None,None,None,None,Pass,6,Low
E0181,108,None,None,None,None,Fail,7,Moderate
E0182,89,None,None,None,Flagged,Pass,7,Moderate
E0183,72,None,None,None,None,Pass,6,Low
E0184,85,None,None,None,Flagged,Pass,7,Moderate
E0185,92,Minor,None,None,None,Pass,7,Moderate
E0186,102,None,None,None,None,Pass,6,Low
E0187,60,None,None,Minor,None,Fail,8,Moderate
E0188,158,None,None,None,None,Pass,6,Low
E0189,88,None,None,None,None,Pass,6,Low
E0190,49,None,None,None,Flagged,Pass,7,Moderate
E0191,153,None,None,None,None,Pass,6,Low
E0192,97,None,None,None,Flagged,Pass,7,Moderate
E0193,29,None,None,None,None,Pass,6,Low
E0194,64,None,None,None,None,Pass,6,Low
E0195,50,None,None,None,Flagged,Pass,7,Moderate
E0196,99,None,None,None,None,Pass,6,Low
E0197,64,None,None,None,None,Pass,6,Low
E0198,89,None,Within past year,None,None,Pass,8,Moderate
E0199,60,None,None,None,None,Pass,6,Low
E0200,115,None,None,None,Flagged,Pass,7,Moderate
E0201,185,None,None,None,None,Pass,6,Low
E0202,184,None,None,None,None,Pass,6,Low
E0203,153,None,None,None,None,Pass,6,Low
E0204,188,None,None,None,Flagged,Pass,7,Moderate
E0205,156,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0206,104,Minor,None,None,Flagged,Pass,8,Moderate
E0207,66,None,None,None,Flagged,Pass,7,Moderate
E0208,112,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0209,26,None,None,None,None,Pass,6,Low
E0210,135,None,None,None,None,Pass,6,Low
E0211,55,None,None,Minor,None,Pass,7,Moderate
E0212,100,Major,None,None,None,Pass,8,Moderate
E0213,188,None,None,Minor,None,Pass,7,Moderate
E0214,173,None,None,None,None,Pass,6,Low
E0215,152,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0216,42,None,None,None,Flagged,Pass,7,Moderate
E0217,81,None,None,None,None,Fail,7,Moderate
E0218,184,None,None,None,None,Pass,6,Low
E0219,137,None,Within past year,Minor,None,Pass,9,Moderate
E0220,153,Major,None,None,None,Pass,8,Moderate
E0221,104,Major,None,None,Flagged,Pass,9,Moderate
E0222,90,None,None,None,None,Pass,6,Low
E0223,180,None,None,None,None,Pass,6,Low
E0224,18,None,None,Minor,None,Pass,7,Moderate
E0225,118,Minor,None,None,None,Pass,7,Moderate
E0226,16,None,Within past 1-3 years,None,Flagged,Pass,8,Moderate
E0227,183,None,None,None,None,Pass,6,Low
E0228,152,None,None,None,None,Pass,6,Low
E0229,61,None,None,None,None,Pass,6,Low
E0230,161,None,None,None,None,Pass,6,Low
E0231,98,Major,Within past year,None,None,Pass,10,Moderate
E0232,164,None,None,None,None,Pass,6,Low
E0233,112,None,Within past 1-3 years,None,Flagged,Pass,8,Moderate
E0234,48,None,None,None,None,None,8,Moderate
E0235,180,None,None,None,None,Pass,6,Low
E0236,181,None,None,None,None,Pass,6,Low
E0237,30,None,None,None,None,Fail,7,Moderate
E0238,45,None,None,None,None,Fail,7,Moderate
E0239,48,None,None,None,None,Pass,6,Low
E0240,175,None,None,None,Flagged,Pass,7,Moderate
E0241,55,None,None,None,None,Pass,6,Low
E0242,157,None,None,None,None,Pass,6,Low
E0243,74,None,None,None,Flagged,Pass,7,Moderate
E0244,169,None,None,None,Flagged,Fail,8,Moderate
E0245,67,None,None,None,None,Pass,6,Low
E0246,21,None,Within past year,None,None,Pass,8,Moderate
E0247,98,None,None,None,None,Pass,6,Low
E0248,13,None,None,None,None,Pass,6,Low
E0249,46,None,None,None,None,Pass,6,Low
E0250,126,None,None,None,None,Pass,6,Low
E0251,143,Minor,None,None,Flagged,Fail,9,Moderate
E0252,137,None,None,None,Flagged,Pass,7,Moderate
E0253,164,None,None,None,None,Pass,6,Low
E0254,89,None,None,None,None,Pass,6,Low
E0255,26,None,None,None,None,Pass,6,Low
E0256,195,None,None,None,None,Pass,6,Low
E0257,43,None,None,None,None,Pass,6,Low
E0258,63,None,None,None,None,Pass,6,Low
E0259,136,None,None,None,Flagged,Fail,8,Moderate
E0260,51,None,None,None,None,Pass,6,Low
E0261,72,None,None,None,None,Pass,6,Low
E0262,141,None,None,None,Flagged,Pass,7,Moderate
E0263,122,None,None,None,None,Pass,6,Low
E0264,15,None,None,None,Flagged,Pass,7,Moderate
E0265,22,None,None,None,None,Pass,6,Low
E0266,142,Major,None,None,None,Pass,8,Moderate
E0267,53,None,None,None,Flagged,Pass,7,Moderate
E0268,120,None,None,None,None,Pass,6,Low
E0269,80,None,None,Major,None,Pass,8,Moderate
E0270,43,None,Within past 1-3 years,None,Flagged,Pass,8,Moderate
E0271,91,None,None,None,None,Pass,6,Low
E0272,174,None,None,None,None,Pass,6,Low
E0273,36,None,None,None,None,Fail,7,Moderate
E0274,76,None,None,None,None,Pass,6,Low
E0275,41,None,None,None,None,Pass,6,Low
E0276,69,None,None,None,Flagged,Pass,7,Moderate
E0277,63,None,None,None,None,Pass,6,Low
E0278,147,None,None,None,None,Pass,6,Low
E0279,136,None,None,None,None,Pass,6,Low
E0280,16,Major,None,None,None,None,10,Moderate
E0281,102,None,None,None,None,Pass,6,Low
E0282,18,None,None,None,None,Pass,6,Low
E0283,136,None,None,None,Flagged,Pass,7,Moderate
E0284,17,None,None,None,None,Pass,6,Low
E0285,103,Minor,None,None,Flagged,Pass,8,Moderate
E0286,124,Minor,None,None,None,Pass,7,Moderate
E0287,84,None,None,None,None,Pass,6,Low
E0288,169,None,Within past 1-3 years,None,Flagged,Pass,8,Moderate
E0289,13,None,None,None,None,Pass,6,Low
E0290,51,None,None,None,None,Pass,6,Low
E0291,155,None,None,None,None,Pass,6,Low
E0292,21,Minor,None,None,Flagged,Pass,8,Moderate
E0293,198,Minor,None,None,None,Fail,8,Moderate
E0294,198,None,None,None,None,Pass,6,Low
E0295,171,None,None,None,None,Pass,6,Low
E0296,159,None,None,None,None,None,8,Moderate
E0297,118,None,None,None,None,Pass,6,Low
E0298,131,None,None,None,Flagged,Pass,7,Moderate
E0299,46,None,None,None,None,Pass,6,Low
E0300,110,None,None,Minor,None,Pass,7,Moderate
E0301,174,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0302,82,None,None,Major,Flagged,Pass,9,Moderate
E0303,169,None,None,None,None,Pass,6,Low
E0304,70,None,None,None,None,Pass,6,Low
E0305,58,None,None,None,None,Fail,7,Moderate
E0306,86,None,None,None,None,Pass,6,Low
E0307,121,None,None,None,None,Pass,6,Low
E0308,122,None,None,None,None,Pass,6,Low
E0309,192,None,None,None,Flagged,Pass,7,Moderate
E0310,152,None,None,None,None,Pass,6,Low
E0311,36,None,None,None,None,Pass,6,Low
E0312,111,None,None,None,None,Pass,6,Low
E0313,55,None,None,None,Flagged,Pass,7,Moderate
E0314,98,Minor,None,None,None,Pass,7,Moderate
E0315,182,None,None,None,None,Pass,6,Low
E0316,171,None,None,Major,None,Pass,8,Moderate
E0317,44,None,None,None,Flagged,Pass,7,Moderate
E0318,131,None,None,None,None,Pass,6,Low
E0319,122,None,None,None,None,Pass,6,Low
E0320,157,None,None,None,None,Pass,6,Low
E0321,65,None,Within past year,None,None,Pass,8,Moderate
E0322,174,None,None,None,None,Pass,6,Low
E0323,109,None,None,None,None,Pass,6,Low
E0324,75,None,Within past 1-3 years,None,Flagged,Fail,9,Moderate
E0325,140,None,Within past year,None,None,Pass,8,Moderate
E0326,48,None,None,None,None,Pass,6,Low
E0327,57,None,None,None,None,Pass,6,Low
E0328,12,None,None,None,None,Pass,6,Low
E0329,131,None,None,None,None,Pass,6,Low
E0330,11,None,None,Minor,Flagged,Fail,9,Moderate
E0331,15,None,None,None,None,Pass,6,Low
E0332,77,None,Within past year,None,None,Pass,8,Moderate
E0333,32,Minor,None,None,None,Pass,7,Moderate
E0334,158,None,Within past 1-3 years,None,None,None,9,Moderate
E0335,124,None,None,None,None,Pass,6,Low
E0336,16,None,None,None,None,Pass,6,Low
E0337,106,None,None,None,None,Fail,7,Moderate
E0338,171,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0339,172,None,None,None,None,Pass,6,Low
E0340,87,None,Within past year,None,None,Pass,8,Moderate
E0341,125,None,None,None,None,Fail,7,Moderate
E0342,145,None,None,None,None,Pass,6,Low
E0343,65,None,None,Minor,Flagged,Pass,8,Moderate
E0344,198,None,None,None,Flagged,Pass,7,Moderate
E0345,62,None,None,None,None,Pass,6,Low
E0346,120,None,Within past year,None,None,Pass,8,Moderate
E0347,149,Minor,None,Minor,None,Pass,8,Moderate
E0348,128,None,None,None,None,Pass,6,Low
E0349,133,None,None,None,None,Pass,6,Low
E0350,173,None,Within past year,None,None,Fail,9,Moderate
E0351,132,None,None,None,None,Pass,6,Low
E0352,103,None,None,Minor,Flagged,Pass,8,Moderate
E0353,164,None,None,None,None,Pass,6,Low
E0354,100,None,Within past year,None,None,Pass,8,Moderate
E0355,51,None,None,None,Flagged,Pass,7,Moderate
E0356,34,None,None,None,None,Pass,6,Low
E0357,175,None,None,None,None,Fail,7,Moderate
E0358,121,None,None,None,None,Pass,6,Low
E0359,194,None,None,None,None,None,8,Moderate
E0360,132,None,None,None,None,Pass,6,Low
E0361,140,None,None,None,None,Pass,6,Low
E0362,108,None,None,None,None,Pass,6,Low
E0363,69,None,None,None,None,Pass,6,Low
E0364,69,None,None,None,None,Pass,6,Low
E0365,27,None,None,None,None,Pass,6,Low
E0366,153,None,None,Major,None,Pass,8,Moderate
E0367,94,None,None,None,None,Pass,6,Low
E0368,17,None,Within past year,None,None,Pass,8,Moderate
E0369,160,None,None,None,None,Pass,6,Low
E0370,150,None,Within past year,None,None,Pass,8,Moderate
E0371,148,None,None,None,None,Pass,6,Low
E0372,117,None,None,None,None,Pass,6,Low
E0373,110,None,None,None,None,Pass,6,Low
E0374,118,None,None,None,None,Pass,6,Low
E0375,155,None,None,None,None,Pass,6,Low
E0376,114,None,None,None,None,Pass,6,Low
E0377,79,None,None,None,Flagged,Pass,7,Moderate
E0378,106,Minor,None,None,None,Pass,7,Moderate
E0379,139,None,None,None,None,Pass,6,Low
E0380,157,None,None,None,None,Pass,6,Low
E0381,46,Major,None,Minor,None,Pass,9,Moderate
E0382,70,None,None,None,None,Pass,6,Low
E0383,19,None,None,None,None,Pass,6,Low
E0384,112,None,None,None,None,Pass,6,Low
E0385,93,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0386,66,None,None,None,None,Pass,6,Low
E0387,44,Minor,None,None,None,Pass,7,Moderate
E0388,37,None,None,None,None,Pass,6,Low
E0389,163,Minor,None,None,Flagged,Pass,8,Moderate
E0390,99,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0391,197,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0392,95,None,None,None,None,Pass,6,Low
E0393,146,None,None,None,None,Pass,6,Low
E0394,84,None,None,Minor,None,Pass,7,Moderate
E0395,109,None,None,None,None,Fail,7,Moderate
E0396,35,None,None,None,None,Pass,6,Low
E0397,32,None,None,Major,None,Pass,8,Moderate
E0398,200,None,Within past year,None,None,Pass,9,Moderate
E0399,117,None,None,None,None,Pass,6,Low
E0400,111,None,None,None,None,Fail,7,Moderate
E0401,107,Minor,None,None,None,Pass,7,Moderate
E0402,15,None,None,None,Flagged,Pass,7,Moderate
E0403,81,None,None,None,None,Pass,6,Low
E0404,196,None,None,None,None,Fail,7,Moderate
E0405,187,None,None,None,Flagged,Pass,7,Moderate
E0406,171,None,None,None,None,Pass,6,Low
E0407,123,None,Within past 1-3 years,None,Flagged,Pass,8,Moderate
E0408,118,None,None,None,None,Pass,6,Low
E0409,76,None,None,None,None,Pass,6,Low
E0410,90,None,None,None,None,Pass,6,Low
E0411,11,Major,None,None,None,Pass,8,Moderate
E0412,96,None,None,Minor,Flagged,Fail,9,Moderate
E0413,190,None,None,None,None,Pass,6,Low
E0414,67,None,None,None,None,Pass,6,Low
E0415,111,None,None,Minor,None,Pass,7,Moderate
E0416,82,None,Within past 1-3 years,None,Flagged,Pass,8,Moderate
E0417,156,None,None,None,None,Pass,6,Low
E0418,31,None,None,None,Flagged,Pass,7,Moderate
E0419,104,None,None,None,Flagged,Pass,7,Moderate
E0420,31,None,None,None,None,Pass,6,Low
E0421,179,None,None,None,None,Pass,6,Low
E0422,156,None,None,Major,Flagged,Pass,9,Moderate
E0423,183,None,None,None,None,Fail,7,Moderate
E0424,153,None,None,Minor,None,Pass,7,Moderate
E0425,147,None,None,None,Flagged,Pass,7,Moderate
E0426,174,None,None,None,None,Pass,6,Low
E0427,18,None,None,None,None,Pass,6,Low
E0428,126,None,None,None,None,Pass,6,Low
E0429,197,None,None,None,None,Pass,6,Low
E0430,195,None,None,None,None,Pass,6,Low
E0431,12,None,None,None,None,Pass,6,Low
E0432,57,None,None,None,None,Pass,6,Low
E0433,47,None,None,None,None,Pass,6,Low
E0434,18,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0435,58,None,None,None,None,Pass,6,Low
E0436,82,None,None,Minor,None,Pass,7,Moderate
E0437,18,None,None,None,None,Fail,7,Moderate
E0438,110,None,None,None,Flagged,Pass,7,Moderate
E0439,147,None,None,None,None,Pass,6,Low
E0440,118,None,None,None,Flagged,Pass,7,Moderate
E0441,115,None,None,None,None,Pass,6,Low
E0442,62,None,None,None,None,Pass,6,Low
E0443,195,None,None,None,None,Pass,6,Low
E0444,120,None,None,None,None,Pass,6,Low
E0445,189,Minor,None,None,None,Pass,7,Moderate
E0446,115,None,None,None,None,Pass,6,Low
E0447,140,Minor,None,None,None,Pass,7,Moderate
E0448,32,None,None,None,None,Pass,6,Low
E0449,117,None,None,None,Flagged,Pass,7,Moderate
E0450,82,None,None,None,None,Pass,6,Low
E0451,44,None,None,Minor,None,Pass,7,Moderate
E0452,60,None,None,None,None,Pass,6,Low
E0453,142,None,None,None,None,Pass,6,Low
E0454,42,Major,None,None,Flagged,Pass,9,Moderate
E0455,193,Minor,None,None,None,Pass,7,Moderate
E0456,94,None,None,None,Flagged,Pass,7,Moderate
E0457,161,None,None,None,Flagged,Pass,7,Moderate
E0458,146,None,None,None,None,Pass,6,Low
E0459,183,None,None,None,None,Pass,6,Low
E0460,41,Minor,None,None,None,Pass,7,Moderate
E0461,148,None,None,None,None,Pass,6,Low
E0462,164,None,None,Major,None,Pass,8,Moderate
E0463,196,None,None,None,None,Pass,6,Low
E0464,193,None,None,None,None,Pass,6,Low
E0465,192,None,None,None,Flagged,Pass,7,Moderate
E0466,109,None,None,None,None,Pass,6,Low
E0467,34,None,None,None,None,Pass,6,Low
E0468,88,None,None,Minor,None,Pass,7,Moderate
E0469,159,None,None,None,None,Pass,6,Low
E0470,175,None,None,None,None,Fail,7,Moderate
E0471,24,None,None,None,None,Pass,6,Low
E0472,155,None,None,None,None,Pass,6,Low
E0473,178,Minor,None,None,Flagged,Pass,8,Moderate
E0474,117,None,None,None,None,Pass,6,Low
E0475,21,None,None,None,None,Pass,6,Low
E0476,131,None,None,None,None,Pass,6,Low
E0477,136,None,None,Minor,Flagged,Pass,8,Moderate
E0478,161,None,None,None,None,Pass,6,Low
E0479,177,None,None,None,None,Pass,6,Low
E0480,74,None,None,None,Flagged,Pass,7,Moderate
E0481,72,None,None,None,None,Pass,6,Low
E0482,196,None,None,Major,None,Pass,8,Moderate
E0483,61,None,None,None,None,Pass,6,Low
E0484,143,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0485,24,None,None,Minor,None,Pass,7,Moderate
E0486,75,Minor,None,None,None,Pass,7,Moderate
E0487,40,None,None,None,None,Pass,6,Low
E0488,87,Major,Within past year,None,None,Pass,10,Moderate
E0489,112,None,None,None,None,Pass,6,Low
E0490,70,None,None,None,Flagged,Pass,7,Moderate
E0491,40,None,None,None,None,Pass,6,Low
E0492,95,None,Within past 1-3 years,None,Flagged,Pass,8,Moderate
E0493,70,None,None,None,None,Pass,6,Low
E0494,138,None,None,None,None,Pass,6,Low
E0495,164,None,None,None,Flagged,Fail,8,Moderate
E0496,170,None,None,None,None,Pass,6,Low
E0497,59,None,None,Major,Flagged,Pass,9,Moderate
E0498,52,None,None,None,None,Pass,6,Low
E0499,65,None,None,Minor,None,Pass,7,Moderate
E0500,50,None,None,None,None,Pass,6,Low
E0501,183,None,None,None,None,Fail,7,Moderate
E0502,61,None,None,None,None,Pass,6,Low
E0503,108,None,None,None,None,Pass,6,Low
E0504,30,Minor,None,None,None,Pass,7,Moderate
E0505,34,None,None,Minor,None,Pass,7,Moderate
E0506,186,Minor,None,None,None,Pass,7,Moderate
E0507,151,None,None,None,None,Pass,6,Low
E0508,56,None,None,None,None,Pass,6,Low
E0509,84,Minor,None,Minor,None,Pass,8,Moderate
E0510,55,None,None,Major,None,Pass,8,Moderate
E0511,122,None,None,None,None,Pass,6,Low
E0512,177,Minor,None,None,Flagged,Pass,8,Moderate
E0513,12,None,None,Major,None,Pass,8,Moderate
E0514,160,None,None,None,None,Pass,6,Low
E0515,189,None,None,None,Flagged,Pass,7,Moderate
E0516,87,None,None,None,None,Pass,6,Low
E0517,126,None,None,None,Flagged,Pass,7,Moderate
E0518,107,None,None,None,None,Pass,6,Low
E0519,13,None,Within past year,None,Flagged,Pass,9,Moderate
E0520,44,None,None,Minor,None,Fail,8,Moderate
E0521,47,None,None,None,Flagged,Pass,7,Moderate
E0522,186,None,None,None,None,Pass,6,Low
E0523,129,None,None,None,None,Pass,6,Low
E0524,82,None,None,None,Flagged,Pass,7,Moderate
E0525,19,None,None,None,None,Pass,6,Low
E0526,108,Minor,None,None,None,Pass,7,Moderate
E0527,154,None,None,None,Flagged,Pass,7,Moderate
E0528,128,None,None,None,None,Pass,6,Low
E0529,143,None,None,Minor,None,Pass,7,Moderate
E0530,63,None,None,None,None,Pass,6,Low
E0531,23,None,None,Minor,None,Fail,8,Moderate
E0532,60,None,None,None,None,Pass,6,Low
E0533,57,None,Within past year,None,None,Pass,8,Moderate
E0534,112,None,None,None,None,Pass,6,Low
E0535,72,Minor,None,None,Flagged,Pass,8,Moderate
E0536,14,Minor,None,None,None,Pass,7,Moderate
E0537,31,None,None,None,Flagged,Pass,7,Moderate
E0538,76,None,None,None,Flagged,Pass,7,Moderate
E0539,132,None,None,None,None,Pass,6,Low
E0540,110,None,None,None,None,Pass,6,Low
E0541,153,None,None,Major,None,Pass,8,Moderate
