Entity ID,Annual Clients,Infraction Type,Infraction Timeline,Public Complaints,Sentiment Analysis,Inspection Results,Total Risk Score,Risk Category
E0147,172,Major,Within past year,None,None,Pass,10,Moderate
E0148,278,Major,Within past 1-3 years,None,None,Pass,10,Moderate
E0149,771,None,Within past 1-3 years,None,Flagged,Fail,11,Moderate
E0150,320,None,Within past 1-3 years,None,Flagged,Pass,9,Moderate
E0151,192,None,Within past 1-3 years,Major,None,None,11,Moderate
E0152,175,Minor,Within past 1-3 years,None,None,None,10,Moderate
E0153,694,Minor,None,Minor,Flagged,Pass,11,Moderate
E0154,959,None,Within past year,Major,None,Pass,12,Moderate
E0155,344,Major,None,Major,Flagged,Pass,12,Moderate
E0156,969,Minor,Within past 1-3 years,Minor,None,Pass,11,Moderate
E0157,805,None,None,Minor,None,Pass,9,Moderate
E0158,61,Minor,Within past year,None,None,Pass,9,Moderate
E0159,87,None,None,Minor,Flagged,Fail,9,Moderate
E0160,455,None,Within past year,None,None,Pass,9,Moderate
E0161,362,Minor,None,None,None,None,10,Moderate
E0162,96,None,None,None,None,Fail,7,Moderate
E0163,990,Major,Within past year,Minor,None,Fail,14,High
E0164,870,Major,None,Minor,None,Fail,12,Moderate
E0165,67,Major,Within past 1-3 years,Major,None,None,13,High
E0166,420,None,Within past year,None,None,Pass,9,Moderate
E0167,205,None,None,Major,None,Pass,9,Moderate
E0168,360,Major,Within past 1-3 years,None,None,Pass,10,Moderate
E0169,188,Major,None,None,Flagged,Fail,10,Moderate
E0170,22,Major,Within past year,None,None,Pass,10,Moderate
E0171,95,Major,Within past year,Major,None,Pass,12,Moderate
E0172,11,Minor,Within past year,Major,Flagged,Fail,13,High
E0173,298,None,Within past 1-3 years,None,Flagged,Fail,10,Moderate
E0174,140,Minor,None,None,None,Fail,8,Moderate
E0175,50,None,None,None,None,Pass,6,Low
E0176,915,None,Within past year,None,Flagged,None,13,High
E0177,132,None,None,Minor,None,Pass,7,Moderate
E0178,166,Minor,Within past year,Major,None,None,13,High
E0179,388,None,Within past year,None,None,Fail,10,Moderate
E0180,965,None,Within past year,None,None,Fail,11,Moderate
E0181,960,Major,Within past year,None,Flagged,Fail,14,High
E0182,701,None,Within past 1-3 years,Minor,None,Fail,11,Moderate
E0183,862,None,None,None,None,Pass,8,Moderate
E0184,11,None,None,Minor,None,Fail,8,Moderate
E0185,350,None,Within past year,None,Flagged,None,12,Moderate
E0186,122,None,Within past year,Minor,Flagged,None,12,Moderate
E0187,678,Minor,Within past 1-3 years,Major,None,None,14,High
E0188,702,Major,Within past year,Minor,None,None,15,High
E0189,381,None,None,None,None,Pass,7,Moderate
E0190,120,Minor,None,None,None,None,9,Moderate
E0191,171,Major,Within past 1-3 years,None,None,Fail,10,Moderate
E0192,729,Minor,None,None,Flagged,Pass,10,Moderate
E0193,661,None,None,None,Flagged,None,11,Moderate
E0194,118,None,None,None,None,Pass,6,Low
E0195,11,Minor,Within past year,None,None,Pass,9,Moderate
E0196,171,None,None,Minor,Flagged,Pass,8,Moderate
E0197,970,None,Within past 1-3 years,Major,None,None,13,High
E0198,73,Minor,None,None,None,Pass,7,Moderate
E0199,46,None,None,None,None,Fail,7,Moderate
E0200,297,Major,None,None,Flagged,Pass,10,Moderate
E0201,324,Major,None,None,None,Pass,9,Moderate
E0202,717,Major,Within past 1-3 years,Minor,None,None,14,High
E0203,112,None,None,Minor,None,None,9,Moderate
E0204,244,None,Within past year,Major,Flagged,Pass,12,Moderate
E0205,17,Minor,None,Minor,Flagged,Pass,9,Moderate
E0206,631,None,None,None,None,None,10,Moderate
E0207,64,None,Within past year,Minor,Flagged,None,12,Moderate
E0208,87,None,None,None,None,None,8,Moderate
E0209,72,Major,Within past 1-3 years,None,Flagged,Fail,11,Moderate
E0210,151,None,Within past year,Minor,None,Pass,9,Moderate
E0211,63,Minor,Within past year,None,None,Pass,9,Moderate
E0212,173,Major,Within past 1-3 years,Major,None,Pass,11,Moderate
E0213,449,Minor,Within past 1-3 years,Minor,Flagged,Pass,11,Moderate
E0214,417,Major,Within past year,Minor,None,None,14,High
E0215,490,None,Within past year,Minor,Flagged,Fail,12,Moderate
E0216,362,None,Within past year,None,None,Pass,9,Moderate
E0217,246,Minor,Within past 1-3 years,Minor,None,Fail,11,Moderate
E0218,405,Major,Within past year,Major,None,None,15,High
E0219,722,None,Within past year,Major,None,Pass,12,Moderate
E0220,638,Minor,Within past year,None,Flagged,Fail,13,High
E0221,719,Minor,None,Major,None,Pass,11,Moderate
E0222,384,Minor,None,None,Flagged,Fail,10,Moderate
E0223,242,Minor,Within past year,None,Flagged,Pass,11,Moderate
E0224,53,Major,Within past 1-3 years,Major,None,Pass,11,Moderate
E0225,773,None,None,Minor,Flagged,Pass,10,Moderate
E0226,255,Minor,Within past 1-3 years,None,None,Pass,9,Moderate
E0227,827,Minor,Within past 1-3 years,Minor,None,None,13,High
E0228,66,Major,Within past 1-3 years,Minor,None,Pass,10,Moderate
E0229,759,Major,None,None,None,None,12,Moderate
E0230,884,Minor,Within past year,None,None,Fail,12,Moderate
E0231,689,Major,None,None,None,Pass,10,Moderate
E0232,460,Major,None,None,None,Fail,10,Moderate
E0233,187,Minor,None,Minor,None,Fail,9,Moderate
E0234,476,Major,Within past year,Minor,None,Fail,13,High
E0235,188,None,None,None,Flagged,Pass,7,Moderate
E0236,595,None,Within past year,Minor,None,Pass,11,Moderate
E0237,65,None,None,None,None,None,8,Moderate
E0238,18,None,None,None,None,None,8,Moderate
E0239,911,None,None,Major,None,Fail,11,Moderate
E0240,292,None,None,Minor,None,None,10,Moderate
E0241,614,None,Within past 1-3 years,None,Flagged,Fail,11,Moderate
E0242,52,Major,None,None,None,Pass,8,Moderate
E0243,234,None,Within past year,None,None,Pass,9,Moderate
E0244,149,Minor,Within past 1-3 years,None,None,Pass,8,Moderate
E0245,564,Minor,Within past 1-3 years,None,Flagged,None,13,High
E0246,193,Minor,None,Minor,None,None,10,Moderate
E0247,262,Major,Within past year,None,None,None,13,High
E0248,696,Minor,Within past 1-3 years,Minor,None,None,13,High
E0249,703,None,Within past year,None,Flagged,Pass,11,Moderate
E0250,97,None,Within past 1-3 years,None,None,Fail,8,Moderate
E0251,358,None,None,None,None,Pass,7,Moderate
E0252,17,Minor,None,None,Flagged,None,10,Moderate
E0253,868,None,None,None,None,Fail,9,Moderate
E0254,838,Major,None,Minor,None,None,13,High
E0255,153,Minor,None,Minor,None,Pass,8,Moderate
E0256,506,Major,Within past year,Minor,Flagged,Pass,14,High
E0257,147,None,None,None,None,Pass,6,Low
E0258,62,None,None,None,None,Fail,7,Moderate
E0259,759,Major,None,None,Flagged,Pass,11,Moderate
E0260,145,Minor,Within past 1-3 years,None,None,Pass,8,Moderate
E0261,53,None,None,None,None,Pass,6,Low
E0262,127,Major,Within past year,None,None,Pass,10,Moderate
E0263,357,Major,None,None,None,Pass,9,Moderate
E0264,180,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0265,64,None,Within past 1-3 years,Minor,None,Pass,8,Moderate
E0266,864,None,Within past 1-3 years,None,None,Pass,9,Moderate
E0267,106,Minor,Within past year,None,None,Fail,10,Moderate
E0268,495,Major,None,Major,None,Pass,11,Moderate
E0269,113,None,Within past year,None,None,Pass,8,Moderate
E0270,53,None,Within past 1-3 years,Minor,None,Pass,8,Moderate
E0271,713,Major,Within past 1-3 years,None,None,Pass,11,Moderate
E0272,30,None,Within past 1-3 years,Minor,None,None,10,Moderate
E0273,226,Major,None,None,None,Fail,10,Moderate
E0274,842,None,Within past 1-3 years,Minor,Flagged,Pass,11,Moderate
E0275,584,None,None,Minor,None,Fail,10,Moderate
E0276,785,None,None,None,None,Pass,8,Moderate
E0277,443,None,None,None,None,Pass,7,Moderate
E0278,200,Major,None,Minor,Flagged,Fail,12,Moderate
E0279,326,None,Within past year,Major,Flagged,Pass,12,Moderate
E0280,379,Major,None,None,None,Pass,9,Moderate
E0281,401,None,None,None,None,Fail,8,Moderate
E0282,566,None,Within past year,Major,None,Pass,12,Moderate
E0283,353,Minor,Within past year,None,None,Pass,10,Moderate
E0284,549,Major,None,None,None,None,12,Moderate
E0285,649,None,None,None,None,None,10,Moderate
E0286,100,Minor,None,None,Flagged,Pass,8,Moderate
E0287,87,Major,Within past year,None,None,Fail,11,Moderate
E0288,601,None,None,Minor,Flagged,Pass,10,Moderate
E0289,475,Minor,Within past 1-3 years,Minor,None,Fail,11,Moderate
E0290,593,Minor,None,Major,Flagged,None,14,High
E0291,788,None,Within past 1-3 years,None,Flagged,Pass,10,Moderate
E0292,610,Major,None,None,Flagged,Pass,11,Moderate
E0293,352,None,Within past year,Major,None,Pass,11,Moderate
E0294,338,Major,None,Minor,None,Fail,11,Moderate
E0295,820,None,Within past year,None,None,Pass,10,Moderate
E0296,944,None,None,None,None,Fail,9,Moderate
E0297,318,Minor,Within past 1-3 years,None,None,Pass,9,Moderate
E0298,226,Minor,None,None,Flagged,None,11,Moderate
E0299,52,None,Within past 1-3 years,Major,None,Fail,10,Moderate
E0300,904,None,Within past 1-3 years,Major,Flagged,Pass,12,Moderate
E0301,393,Minor,None,Minor,None,Pass,9,Moderate
E0302,142,Minor,Within past 1-3 years,None,None,Fail,9,Moderate
E0303,114,None,None,None,None,Pass,6,Low
E0304,15,Major,None,Minor,None,None,11,Moderate
E0305,255,Major,Within past 1-3 years,None,None,Pass,10,Moderate
E0306,441,None,Within past year,None,None,Pass,9,Moderate
E0307,171,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0308,485,None,Within past year,Minor,None,None,12,Moderate
E0309,168,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0310,133,Major,None,None,None,Pass,8,Moderate
E0311,843,None,Within past 1-3 years,None,None,Pass,9,Moderate
E0312,339,Minor,Within past 1-3 years,None,Flagged,Pass,10,Moderate
E0313,927,Major,None,None,Flagged,Pass,11,Moderate
E0314,112,Minor,None,Minor,Flagged,Pass,9,Moderate
E0315,35,None,Within past year,None,Flagged,Pass,9,Moderate
E0316,131,Major,Within past year,Major,None,Pass,12,Moderate
E0317,61,None,None,None,None,Pass,6,Low
E0318,666,None,None,Major,None,Pass,10,Moderate
E0319,74,None,None,None,Flagged,Pass,7,Moderate
E0320,92,None,Within past 1-3 years,Minor,None,Pass,8,Moderate
E0321,561,None,None,Major,Flagged,Pass,11,Moderate
E0322,617,Major,Within past year,Major,None,Fail,15,High
E0323,742,None,None,None,Flagged,Pass,9,Moderate
E0324,409,None,Within past 1-3 years,Major,Flagged,Pass,11,Moderate
E0325,120,Minor,None,None,None,Fail,8,Moderate
E0326,552,None,None,None,None,Pass,8,Moderate
E0327,435,None,Within past year,None,None,Pass,9,Moderate
E0328,211,None,Within past 1-3 years,Major,None,Fail,11,Moderate
E0329,308,None,Within past 1-3 years,Minor,None,None,11,Moderate
E0330,442,None,Within past year,None,None,Pass,9,Moderate
E0331,133,None,Within past year,Minor,None,None,11,Moderate
E0332,498,Major,Within past 1-3 years,None,None,None,12,Moderate
E0333,586,Minor,Within past year,None,Flagged,Pass,12,Moderate
E0334,829,None,Within past 1-3 years,None,Flagged,Pass,10,Moderate
E0335,468,Minor,None,Minor,Flagged,None,12,Moderate
E0336,943,None,Within past 1-3 years,None,None,Fail,10,Moderate
E0337,122,None,Within past year,None,None,Pass,8,Moderate
E0338,312,Major,Within past 1-3 years,None,None,Pass,10,Moderate
E0339,814,Minor,Within past year,None,None,Fail,12,Moderate
E0340,766,None,None,Minor,Flagged,Fail,11,Moderate
E0341,66,Minor,Within past year,None,Flagged,None,12,Moderate
E0342,346,None,None,Minor,None,Pass,8,Moderate
E0343,178,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0344,325,Minor,Within past 1-3 years,None,None,Fail,10,Moderate
E0345,39,Minor,None,None,Flagged,Pass,8,Moderate
E0346,486,Minor,None,None,None,Pass,8,Moderate
E0347,895,None,None,Major,None,Pass,10,Moderate
E0348,450,None,Within past year,None,None,None,11,Moderate
E0349,126,None,Within past 1-3 years,Minor,None,Pass,8,Moderate
E0350,341,None,None,Major,None,Pass,9,Moderate
E0351,311,Major,None,Minor,Flagged,Pass,11,Moderate
E0352,180,Minor,None,None,Flagged,None,10,Moderate
E0353,128,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0354,358,Minor,None,None,None,Pass,8,Moderate
E0355,704,None,Within past 1-3 years,None,None,Pass,9,Moderate
E0356,278,None,Within past 1-3 years,None,None,None,10,Moderate
E0357,976,Minor,None,None,Flagged,None,12,Moderate
E0358,434,Major,None,None,None,Fail,10,Moderate
E0359,250,Major,Within past 1-3 years,None,None,Pass,10,Moderate
E0360,223,None,None,Minor,None,Pass,8,Moderate
E0361,416,None,Within past year,Major,None,None,13,High
E0362,613,None,Within past 1-3 years,None,Flagged,Pass,10,Moderate
E0363,200,None,None,None,Flagged,None,10,Moderate
E0364,18,None,None,None,None,Pass,6,Low
E0365,291,None,None,Minor,Flagged,Fail,10,Moderate
E0366,62,None,None,Minor,Flagged,Pass,8,Moderate
E0367,378,Minor,None,None,None,Pass,8,Moderate
E0368,750,None,Within past 1-3 years,Major,Flagged,None,14,High
E0369,201,Major,Within past year,None,Flagged,Pass,12,Moderate
E0370,134,None,Within past year,Minor,None,Fail,10,Moderate
E0371,207,None,Within past 1-3 years,Minor,None,Fail,10,Moderate
E0372,287,None,None,None,Flagged,Fail,9,Moderate
E0373,76,None,Within past year,None,None,None,10,Moderate
E0374,987,Major,Within past year,Major,Flagged,None,17,High
E0375,274,None,Within past 1-3 years,None,None,None,10,Moderate
E0376,82,Minor,Within past year,Minor,None,None,12,Moderate
E0377,447,Minor,Within past 1-3 years,Major,None,Pass,11,Moderate
E0378,357,None,None,Minor,Flagged,Pass,9,Moderate
E0379,583,None,Within past year,Major,Flagged,Fail,14,High
E0380,175,None,Within past year,None,Flagged,Fail,10,Moderate
E0381,161,Major,None,Major,None,Fail,11,Moderate
E0382,357,None,None,Minor,Flagged,Pass,9,Moderate
E0383,153,Minor,None,None,None,Fail,8,Moderate
E0384,670,Minor,None,None,None,Fail,10,Moderate
E0385,539,None,None,None,None,Pass,8,Moderate
E0386,12,None,None,None,None,Pass,6,Low
E0387,939,Major,None,None,None,None,12,Moderate
E0388,485,None,Within past 1-3 years,None,Flagged,Pass,9,Moderate
E0389,101,None,None,Major,None,None,10,Moderate
E0390,103,Minor,None,None,None,Pass,7,Moderate
E0391,66,Minor,Within past 1-3 years,Major,Flagged,Fail,12,Moderate
E0392,611,None,Within past year,None,Flagged,None,13,High
E0393,293,None,None,None,None,Pass,7,Moderate
E0394,211,Minor,Within past year,Minor,None,Pass,11,Moderate
E0395,451,None,None,None,None,Fail,8,Moderate
E0396,190,Minor,None,Major,Flagged,None,12,Moderate
E0397,299,None,Within past 1-3 years,None,None,Pass,8,Moderate
E0398,77,None,None,Minor,Flagged,Fail,9,Moderate
E0399,584,Minor,Within past 1-3 years,None,None,None,12,Moderate
E0400,153,Minor,None,None,None,Pass,7,Moderate
E0401,398,None,Within past 1-3 years,Minor,Flagged,None,12,Moderate
E0402,36,None,Within past 1-3 years,Minor,None,Fail,9,Moderate
E0403,367,None,None,Minor,None,Pass,8,Moderate
E0404,273,None,Within past year,None,None,Pass,9,Moderate
E0405,506,None,Within past year,Minor,None,None,13,High
E0406,89,None,None,None,None,Pass,6,Low
E0407,388,None,Within past year,Minor,Flagged,None,13,High
E0408,147,Major,None,Minor,None,None,11,Moderate
E0409,490,Minor,None,Major,None,Pass,10,Moderate
E0410,28,Major,Within past 1-3 years,Minor,Flagged,Pass,11,Moderate
E0411,93,Minor,Within past 1-3 years,None,None,Fail,9,Moderate
E0412,584,Minor,None,Major,None,None,13,High
E0413,387,Major,Within past 1-3 years,Major,None,None,14,High
E0414,137,Major,Within past 1-3 years,None,None,Fail,10,Moderate
E0415,55,None,None,None,None,None,8,Moderate
E0416,113,Minor,None,Minor,None,Pass,8,Moderate
E0417,107,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0418,169,Minor,Within past year,None,None,None,11,Moderate
E0419,151,Minor,None,Minor,None,Pass,8,Moderate
E0420,923,Major,Within past year,None,None,Pass,12,Moderate
E0421,796,None,None,None,None,None,10,Moderate
E0422,70,None,None,Major,Flagged,Pass,9,Moderate
E0423,135,None,Within past year,None,Flagged,Pass,9,Moderate
E0424,65,None,None,None,None,Pass,6,Low
E0425,46,Minor,None,None,None,None,9,Moderate
E0426,826,Minor,Within past year,None,None,Pass,11,Moderate
E0427,18,None,Within past year,Major,Flagged,Pass,11,Moderate
E0428,52,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0429,447,Minor,None,None,None,Pass,8,Moderate
E0430,84,None,None,Major,None,Pass,8,Moderate
E0431,717,Major,None,Major,None,Pass,12,Moderate
E0432,812,None,None,Minor,None,None,11,Moderate
E0433,370,None,Within past year,None,Flagged,Pass,10,Moderate
E0434,111,Minor,Within past year,None,Flagged,Fail,11,Moderate
E0435,61,Minor,Within past year,None,None,Pass,9,Moderate
E0436,417,Minor,None,None,None,None,10,Moderate
E0437,633,None,None,None,Flagged,Pass,9,Moderate
E0438,227,Major,Within past 1-3 years,Minor,None,Pass,11,Moderate
E0439,213,None,None,None,None,Fail,8,Moderate
E0440,17,Minor,Within past 1-3 years,Major,None,Pass,10,Moderate
E0441,434,Major,None,None,None,Fail,10,Moderate
E0442,277,Major,None,None,None,Pass,9,Moderate
E0443,404,Minor,Within past year,None,None,Fail,11,Moderate
E0444,81,None,None,None,Flagged,Pass,7,Moderate
E0445,55,Major,None,None,None,Pass,8,Moderate
E0446,97,None,Within past year,None,Flagged,Pass,9,Moderate
E0447,320,None,None,None,Flagged,None,10,Moderate
E0448,76,Major,Within past year,None,None,Pass,10,Moderate
E0449,836,Minor,Within past 1-3 years,Major,None,Pass,12,Moderate
E0450,656,Minor,None,None,Flagged,None,12,Moderate
E0451,23,Minor,None,None,None,Pass,7,Moderate
E0452,166,None,Within past 1-3 years,None,Flagged,Fail,9,Moderate
E0453,448,Minor,None,None,None,Fail,9,Moderate
E0454,486,Minor,Within past 1-3 years,Major,None,Pass,11,Moderate
E0455,48,Major,None,Minor,Flagged,Pass,10,Moderate
E0456,200,None,Within past year,None,None,Fail,10,Moderate
E0457,649,Minor,None,Minor,None,Pass,10,Moderate
E0458,77,None,None,None,None,None,8,Moderate
E0459,258,None,None,None,Flagged,Fail,9,Moderate
E0460,75,Minor,Within past 1-3 years,None,Flagged,Pass,9,Moderate
E0461,267,Major,None,Minor,None,Fail,11,Moderate
E0462,631,None,Within past 1-3 years,None,None,Fail,10,Moderate
E0463,88,Minor,None,Major,Flagged,Pass,10,Moderate
E0464,200,None,None,None,None,None,9,Moderate
E0465,29,Major,Within past 1-3 years,Minor,Flagged,Fail,12,Moderate
E0466,437,None,None,None,None,Pass,7,Moderate
E0467,445,Minor,None,Minor,Flagged,None,12,Moderate
E0468,173,None,Within past year,None,Flagged,Fail,10,Moderate
E0469,298,Minor,None,Minor,None,Pass,9,Moderate
E0470,252,Minor,Within past 1-3 years,Minor,None,Pass,10,Moderate
